iter	Passed	Remaining
598	505098	338137
599	505892	337261
600	506695	336391
601	507487	335515
602	508277	334637
603	509057	333753
604	509845	332874
605	510652	332008
606	511447	331135
607	512240	330260
608	513031	329384
609	513825	328511
610	514625	327641
611	515417	326768
612	516205	325891
613	516992	325014
614	517786	324142
615	518592	323278
616	519400	322415
617	520185	321538
618	520967	320659
619	521760	319788
620	522563	318923
621	523384	318069
622	524182	317202
623	525054	316379
624	525865	315519
625	526676	314660
626	527482	313797
627	528260	312918
628	529058	312052
629	529857	311186
630	530666	310326
631	531466	309461
632	532252	308588
633	533047	307721
634	533834	306849
635	534633	305985
636	535429	305119
637	536212	304245
638	537004	303378
639	537782	302502
640	538573	301634
641	539368	300769
642	540158	299901
643	540949	299034
644	541739	298166
645	542596	297336
646	543399	296475
647	544188	295608
648	544986	294746
649	545778	293880
650	546581	293021
651	547392	292166
652	548191	291305
653	548988	290443
654	549780	289579
655	550603	288731
656	551401	287870
657	552230	287025
658	553035	286168
659	553841	285312
660	554650	284457
661	555449	283598
662	556223	282725
663	557031	281871
664	557841	281017
665	558637	280157
666	559426	279293
667	560219	278432
668	561013	277571
669	561818	276716
670	562625	275862
671	563442	275013
672	564233	274152
673	565020	273288
674	565822	272432
675	566622	271576
676	567421	270719
677	568208	269856
678	569017	269005
679	569814	268148
680	570625	267297
681	571437	266447
682	572227	265587
683	573056	264745
684	573849	263886
685	574655	263034
686	575461	262182
687	576276	261334
688	577067	260475
689	577878	259626
690	578685	258775
691	579502	257928
692	580288	257068
693	581091	256216
694	581897	255365
695	582706	254515
696	583501	253660
697	584298	252805
698	585089	251948
699	585910	251104
700	586714	250253
701	587514	249400
702	588329	248554
703	589141	247707
704	589952	246859
705	590756	246008
706	591556	245157
707	592353	244303
708	593175	243461
709	593970	242607
710	594770	241756
711	595576	240907
712	596373	240055
713	597170	239202
714	597970	238351
715	598761	237497
716	599547	236641
717	600316	235779
718	601113	234927
719	601910	234076
720	602727	233233
721	603531	232384
722	604325	231532
723	604351	230388
724	605160	229543
725	605978	228702
726	606782	227856
727	607601	227015
728	608386	226162
729	609182	225313
730	609996	224472
731	610799	223625
732	611579	222771
733	612370	221921
734	613172	221075
735	613972	220229
736	614779	219385
737	615575	218537
738	616368	217688
739	617167	216842
740	617977	216000
741	618791	215159
742	619598	214316
743	620405	213472
744	621202	212626
745	622022	211787
746	622835	210946
747	623642	210104
748	624437	209257
749	625241	208413
750	626039	207568
751	626919	206750
752	627791	205928
753	628581	205080
754	629387	204238
755	630271	203420
756	631100	202585
757	631900	201741
758	632696	200895
759	633494	200050
760	634297	199207
761	635106	198366
762	635923	197527
763	636734	196687
764	637534	195844
765	638388	195016
766	639216	194181
767	640008	193336
768	640805	192491
769	641619	191652
770	642420	190809
771	643234	189970
772	644040	189129
773	644852	188290
774	645649	187446
775	646465	186608
776	647275	185768
777	648071	184925
778	648876	184084
779	649680	183243
780	650506	182408
781	651373	181584
782	652174	180743
783	652973	179900
784	653835	179076
785	654741	178263
786	655637	177447
787	656549	176635
788	657498	175832
789	658419	175022
790	659285	174197
791	660192	173383
792	661137	172579
793	662037	171762
794	662912	170939
795	663791	170117
